date,open,Customer_Footfall,visits,purchases,conversion_rate,Sales_Amount,gmv,avg_ticket_base,avg_ticket_with_impulse,impulse_attach_pct,impulse_avg_eur,items_per_ticket,quick_buy_pct,quick_buy_ticket,miel_u,loncheado_u,mermelada_u,queso_u,tote_u,picos_u,vino_u,minicata_u,Units_Sold,Inventory_Level,tote_stock,Online_Orders,online_orders_attr,contacts,campaign_conversions,referred_visits,baskets_via_lodging,market_segment,distribution_channel,Promotion,Holiday,holiday_or_event,Season,Day_Of_Week,Month,Year,partners_active,Demand_Level
2024-02-11,1,9,9,2,0.2222,75.07,75.07,36.16,37.53,23.4,5.88,2.0,25.6,13.7,0,1,0,0,0,1,1,1,4,38,38,0,0,1,0,3,2,Passerby,Walk_in,No,No,0,Invierno,Sunday,2,2024,2,Low
2024-02-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Monday,2,2024,2,None
2024-02-13,1,10,10,1,0.1,33.15,33.15,31.88,33.15,36.9,3.44,0.0,26.7,13.89,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,2,1,Passerby,Walk_in,No,No,0,Invierno,Tuesday,2,2024,2,Low
2024-02-14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,2,2024,3,None
2024-02-15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Thursday,2,2024,2,None
2024-02-16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,2,2024,2,None
2024-02-17,1,8,8,7,0.875,226.69,226.69,31.05,32.38,21.2,6.3,0.14,21.7,19.2,0,0,0,0,0,0,0,1,1,38,38,0,0,2,0,0,1,Event_local,Offline_event,No,No,0,Invierno,Saturday,2,2024,2,Low
2024-02-18,1,11,11,3,0.2727,119.9,119.9,37.69,39.97,45.0,5.06,0.67,21.4,14.54,0,0,0,1,0,0,0,1,2,38,38,0,0,1,0,1,0,Rural_lodging,Partner_referral,No,No,0,Invierno,Sunday,2,2024,3,Low
2024-02-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Monday,2,2024,2,None
2024-02-20,1,4,4,2,0.5,73.45,73.45,35.46,36.73,33.3,3.81,0.5,14.6,16.87,1,0,0,0,0,0,0,0,1,38,38,0,0,1,0,1,0,Rural_lodging,Partner_referral,No,No,0,Invierno,Tuesday,2,2024,2,Low
2024-02-21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,2,2024,3,None
2024-02-22,1,6,6,3,0.5,116.14,116.14,37.31,38.71,32.0,4.39,0.33,24.1,14.9,0,0,1,0,0,0,0,0,1,38,38,0,0,1,0,0,0,Rural_lodging,Partner_referral,No,No,0,Invierno,Thursday,2,2024,3,Low
2024-02-23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Friday,2,2024,2,None
2024-02-24,1,9,9,6,0.6667,245.35,245.35,38.63,40.89,35.1,6.45,0.67,24.3,15.09,1,0,1,1,1,0,0,0,4,37,37,0,0,2,0,2,1,Direct,Direct,No,No,0,Invierno,Saturday,2,2024,3,Low
2024-02-25,1,6,6,2,0.3333,75.65,75.65,36.35,37.82,37.2,3.95,2.0,21.1,18.38,2,0,0,1,0,0,0,1,4,37,37,1,0,1,0,0,0,Direct,Direct,No,No,0,Invierno,Sunday,2,2024,2,Low
2024-02-26,1,11,11,2,0.1818,75.29,75.29,36.68,37.64,38.4,2.51,0.5,28.0,13.54,0,0,1,0,0,0,0,0,1,37,37,1,0,1,0,1,0,Event_local,Offline_event,No,No,0,Invierno,Monday,2,2024,3,Low
2024-02-27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Tuesday,2,2024,3,None
2024-02-28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Wednesday,2,2024,3,None
2024-02-29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Closed,None,No,No,0,Invierno,Thursday,2,2024,2,None
2024-03-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Friday,3,2024,2,None
2024-03-02,1,14,14,4,0.2857,145.45,145.45,33.55,36.36,38.7,7.27,1.0,22.1,17.6,1,0,0,0,1,1,0,1,4,36,36,1,1,2,1,1,0,Event_local,Offline_event,Yes,No,0,Primavera,Saturday,3,2024,3,Low
2024-03-03,1,19,19,5,0.2632,151.79,151.79,28.92,30.36,32.5,4.44,0.8,24.7,14.36,1,0,0,0,0,0,0,3,4,36,36,0,0,2,0,1,1,Passerby,Walk_in,No,No,0,Primavera,Sunday,3,2024,3,Low
2024-03-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,3,2024,3,None
2024-03-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,3,2024,3,None
2024-03-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,3,2024,2,None
2024-03-07,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,3,2024,2,None
2024-03-08,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Friday,3,2024,3,None
2024-03-09,1,5,5,2,0.4,77.81,77.81,35.49,38.9,38.3,8.91,0.5,24.8,13.5,0,0,1,0,0,0,0,0,1,36,36,1,1,1,1,1,0,Direct,Direct,No,No,0,Primavera,Saturday,3,2024,2,Low
2024-03-10,1,16,16,9,0.5625,378.99,378.99,39.71,42.11,30.8,7.8,0.78,22.2,14.53,1,1,0,1,0,2,1,1,7,36,36,1,1,4,1,2,0,Passerby,Walk_in,Yes,Yes,1,Primavera,Sunday,3,2024,2,Low
2024-03-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,3,2024,3,None
2024-03-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,3,2024,3,None
2024-03-13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,3,2024,3,None
2024-03-14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,3,2024,3,None
2024-03-15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,Closed,None,No,Yes,1,Primavera,Friday,3,2024,3,None
2024-03-16,1,13,13,7,0.5385,230.37,230.37,29.87,32.91,42.3,7.19,0.86,30.3,17.88,1,0,0,1,1,0,2,1,6,35,35,4,1,2,1,3,1,Direct,Direct,Yes,Yes,1,Primavera,Saturday,3,2024,3,Low
2024-03-17,1,15,15,5,0.3333,215.3,215.3,39.06,43.06,40.8,9.82,0.6,21.3,17.76,0,0,0,1,1,0,1,0,3,34,34,0,0,2,0,4,3,Rural_lodging,Partner_referral,Yes,Yes,1,Primavera,Sunday,3,2024,2,Low
2024-03-18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,3,2024,3,None
2024-03-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,3,2024,3,None
2024-03-20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,3,2024,3,None
2024-03-21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,3,2024,3,None
2024-03-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,Closed,None,No,Yes,1,Primavera,Friday,3,2024,3,None
2024-03-23,1,19,19,14,0.7368,583.59,583.59,37.27,41.69,54.6,8.09,0.86,29.8,17.98,2,2,3,2,1,1,1,0,12,33,33,0,0,6,0,4,0,Direct,Direct,Yes,Yes,1,Primavera,Saturday,3,2024,3,Medium
2024-03-24,1,14,14,6,0.4286,240.7,240.7,36.58,40.12,36.5,9.69,0.5,23.0,18.08,0,1,1,0,0,0,0,1,3,33,33,1,0,2,0,6,0,Direct,Direct,Yes,Yes,1,Primavera,Sunday,3,2024,4,Low
2024-03-25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,3,2024,3,None
2024-03-26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,3,2024,4,None
2024-03-27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,3,2024,3,None
2024-03-28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,3,2024,3,None
2024-03-29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Friday,3,2024,3,None
2024-03-30,1,14,14,4,0.2857,144.92,144.92,35.2,36.23,22.2,4.63,0.25,24.9,16.23,0,0,0,0,1,0,0,0,1,32,32,1,1,2,1,2,1,Rural_lodging,Partner_referral,No,No,0,Primavera,Saturday,3,2024,3,Low
2024-03-31,1,10,10,2,0.2,65.95,65.95,30.87,32.97,31.1,6.76,0.0,23.4,14.2,0,0,0,0,0,0,0,0,0,32,32,0,0,1,0,0,0,Rural_lodging,Partner_referral,No,No,0,Primavera,Sunday,3,2024,4,Low
2024-04-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,4,2024,3,None
2024-04-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,4,2024,3,None
2024-04-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,4,2024,3,None
2024-04-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,4,2024,3,None
2024-04-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Friday,4,2024,3,None
2024-04-06,1,11,11,1,0.0909,41.01,41.01,37.5,41.01,39.9,8.79,1.0,31.7,13.5,0,0,0,0,0,1,0,0,1,32,32,0,0,1,0,1,0,Passerby,Walk_in,No,No,0,Primavera,Saturday,4,2024,3,Low
2024-04-07,1,12,12,5,0.4167,185.66,185.66,35.1,37.13,28.3,7.19,0.6,27.9,16.69,0,1,1,0,0,0,0,1,3,32,32,0,0,1,0,0,1,Passerby,Walk_in,No,No,0,Primavera,Sunday,4,2024,4,Low
2024-04-08,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,4,2024,4,None
2024-04-09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,4,2024,3,None
2024-04-10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,4,2024,3,None
2024-04-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,4,2024,3,None
2024-04-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,Closed,None,No,Yes,1,Primavera,Friday,4,2024,3,None
2024-04-13,1,13,13,5,0.3846,163.01,163.01,28.59,32.6,46.9,8.56,0.8,22.5,11.0,1,0,0,0,0,2,0,1,4,32,32,0,0,1,0,2,0,Direct,Direct,Yes,Yes,1,Primavera,Saturday,4,2024,3,Low
2024-04-14,1,18,18,4,0.2222,166.07,166.07,40.1,41.52,27.0,5.27,1.75,29.3,16.04,2,1,0,0,1,0,0,3,7,31,31,2,0,2,0,0,1,Event_local,Offline_event,Yes,Yes,1,Primavera,Sunday,4,2024,3,Low
2024-04-15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Monday,4,2024,3,None
2024-04-16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Tuesday,4,2024,3,None
2024-04-17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Wednesday,4,2024,4,None
2024-04-18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,Closed,None,No,No,0,Primavera,Thursday,4,2024,4,None
